序号,诉求,诉求时间,回复时间
14,你好，请问市南区扬州路1号何时征收？,2020-03-12,2020-03-12
15,企业2月份已扣社保什么时间退回公司代扣账户？还是需要企业申请？企业医保青岛今年又减半征收的政策吗,2020-03-05,2020-03-05
序号,诉求,诉求时间,回复时间
16,父母手机太卡，假如都用我的微信能申请他们口罩吗，怕被判定同一人错过机会,2020-02-26,2020-03-03
17,什么时候可以给小企业口罩配额，买不到口罩，快开不了工了。,2020-02-20,2020-03-02
18,省内外市人员如果要入青，开具健康证明，专车接送。返青后还要自我隔离14天吗？,2020-02-28,2020-02-29
19,我用很短的时间填写个人信息抢了几次没有抢到，比我年纪稍大的中年人怎么能抢到呢？,2020-02-26,2020-02-26
20,购买口罩可否以家庭为单位统一邮递入户,2020-02-22,2020-02-25
21,二月十八号预约邮递口罩今天未收到！希望有关部门能给解决！,2020-02-20,2020-02-21
22,"您好,     请问刻制的印章如何领取,需要到大厅窗口领取吗,",2020-02-19,2020-02-21
23,怎样才能约上口罩？,2020-02-20,2020-02-20
24,怎样才能约上口罩？,2020-02-20,2020-02-20
25,怎样购买口罩,2020-02-07,2020-02-19
26,投诉即墨区圆通速递于凯店子山三路偷个人所得税请依法查处,2020-02-12,2020-02-19
27,投诉即墨区圆通速递于凯店子山三路偷个人所得税请依法查处,2020-02-12,2020-02-19
28,投诉即墨区圆通速递于凯电话13176531111店子山三路他去年毛收入360万没交一分钱税，偷漏个人所得税请依法查处。,2020-02-12,2020-02-19
29,投诉即墨区圆通速递于凯电话13176531111店子山三路他去年毛收入360万没交一分钱税，偷漏个人所得税请依法查处。,2020-02-12,2020-02-19
30,现在买个口罩一人难了。,2020-02-14,2020-02-14
序号,诉求,诉求时间,回复时间
31,没有口罩出不了门能把口罩发放到小区按户配给吗？,2020-02-08,2020-02-11
32,我公司因业务需要注册成立公司，小规模纳税人，后期因业务量增大，增值税普通发票和专用发票申请增加额度，原先为万元版本，申请增至十万元，我去办理的时候又是提示一地址多证又是提示税负低开票有风险，我搞不清楚为什么小规模开个十万元发票这么困难，个体都可以申请，公司就不能吗？到底政策怎么规定的。此问题如不得到反馈将反馈山东省总局。一次办好，减税降负，执行了吗？,2020-01-22,2020-02-11
33,市民就是买个口罩就这么样难吗？,2020-02-10,2020-02-11
34,怎样才能预约到口罩，请指示,2020-02-09,2020-02-11
35,国税局和地税局早已经合并了，怎么在微信办事里面，还是青岛国税和青岛地税？,2020-02-07,2020-02-07
36,系统太烂！都验证通过了还是登不上！怎么学深圳？,2020-02-06,2020-02-07
37,胶南就一个点？够么？,2020-02-06,2020-02-07
38,怎样才能买到口罩？请给预回答,2020-02-07,2020-02-07
39,公司放假到正月十六，公司高层听说税务局初十就上班了非得让提前去办业务，现在疫情这么严重，税务部门不延期？这时候实在不想冒险提前去税务局扎堆。,2020-01-31,2020-02-04
40,运输费增值税专用发票，国税地税?位置在哪,2020-01-14,2020-01-15
41,青岛安龙机电设备有限公司偷税漏税，胆大妄为，请税务部门查一下。,2019-12-24,2019-12-30
42,即墨区西元庄三期物业，收取物业费不开发票。是不是偷税？业主索要为什么不给开发票？税务局不管吗？,2019-12-24,2019-12-25
43,即墨区西元庄三期物业，收取物业费不开发票。是不是偷税？业主索要为什么不给开发票？税务局不管吗？,2019-12-24,2019-12-25
44,即墨区西元庄三期物业，收取物业费不开发票。是不是偷税？业主索要为什么不给开发票？税务局不管吗？,2019-12-24,2019-12-25
45,住宅继承怎么收费的    卖房个得所得税怎么收费的,2019-12-13,2019-12-25
序号,诉求,诉求时间,回复时间
46,青岛新创品企业管理有限公司偷税漏税，九月底的时候我们在新创品加盟的粉姑娘这个项目不给开发票，而且打款给的私人账户,2019-12-10,2019-12-20
47,你好：    咨询一下，我公司准备盖大楼，可是出售沙子和砖的是个人，没有发票，请问怎么处理能税前列支？谢谢！2019.12.03    ,2019-12-03,2019-12-10
48,公司用支付宝发工资属于偷税吗,2019-12-10,2019-12-10
49,在利群购物的，无论用购物卡还是购物卡➕微信消费的不能开发票，是不是在偷税漏税，问题是买购物卡时也没有开发票？,2019-11-24,2019-12-03
50,胶北办事处香江路西头杏果庄村一五层楼边上销售经营假化肥农药门市部，购买化肥开具不了发票，怀疑存在偷税漏税，税务局是否没有稽查到位,2019-11-27,2019-11-29
51,王局长，请问社团的法人可以是外国人吗？,2019-11-19,2019-11-19
52,西元庄青岛即墨市惠中物业管理有限公司多年来以不开发票方式偷逃国家税款数额巨大，请国家查处,2019-11-05,2019-11-14
53,西元庄惠中物业以不开发票方式偷税漏税，数额巨大，严重犯罪,2019-11-04,2019-11-05
54,物业费普遍不开发票。,2019-10-29,2019-11-05
55,物业费普遍不开发票。,2019-10-29,2019-11-05
56,物业公司自10年前后进驻小区以来就以不开发票方式偷税漏税至今，至于偷逃国家多少税款你们税务局自己核查,2019-10-20,2019-11-05
57,委托刻制企业公章需要的材料？,2019-10-22,2019-10-22
58,请问单位公章可以刻制几枚？,2019-10-22,2019-10-22
59,刚才报税，看到一个新税种工会经费，做为一个小微企业，也就一个人带几个人在工地上干点活，不知道这工会收经费是用来做什么的？现在的人工费都很高，本来我们的利润就少，绝大部分的钱都用来开工资了，而这个工会经费是以工资来交，这个数额也不是小数。我个人认为工会经费应该是从我们交的税费中出的，而不应该再立这种名目让我们这些小微来增加负担,2019-10-21,2019-10-22
60,青岛市的农产品质量安全形势是怎样的？,2019-10-17,2019-10-17
序号,诉求,诉求时间,回复时间
61,青岛市的农产品质量安全形势是怎样的？,2019-10-17,2019-10-17
62,举报下面两家企业报税有重大问题（疑涉及偷税漏税），请税务部门查处。青岛三合力尚工贸有限公司（91370212MA3CA2FX9T）青岛天天运国际物流有限公司（91370212MA3F3F4C74）,2019-09-30,2019-10-14
63,胶州市胶北工业园达能路六号青岛金顺钢构有限公司老板韩宏先（电话:13589268333）多年前非法从外地购得一支极具杀伤力的仿真冲锋枪（由快递送达），请青岛市公安机关依法调查处理!我们老板还涉嫌私刻其他单位公章，购买增值税专用发票偷逃税款，弄虚作假骗取贷款等其他违法犯罪行为。（请不要让当地胶州市公安机关办理，不会有结果的。),2019-09-12,2019-09-18
64,胶州市胶北工业园达能路六号青岛金顺钢构有限公司老板韩宏先（电话:13589268333）多年前非法从外地购得一支极具杀伤力的仿真冲锋枪（由快递送达），请青岛市公安机关依法调查处理!我们老板还涉嫌私刻其他单位公章，购买增值税专用发票偷逃税款，弄虚作假骗取贷款等其他违法犯罪行为。（请不要让当地胶州市公安机关办理，不会有结果的。),2019-09-12,2019-09-18
65,海信都市果岭开发商(崂山区松岭路129号)拒绝开具购房发票，涉嫌偷税漏税，请严查的。,2019-08-29,2019-09-06
66,有个叫任以顺的老头，说话哼哈的甩脸子，税务局的都是大爷惹不起,2019-08-23,2019-09-02
67,新精神活性物质与合成毒品有什么区别？,2019-08-28,2019-08-28
68,请问增值税普通发票冲回红字发票有期限吗,2019-08-20,2019-08-27
69,定额发票只给停车场，门诊？我是民办学校，交税是对的。但是税控器，服务费这些第三方收费，我给不起。也就是说，交的税款抵不过第三方收的钱。电脑，网络，打印机还需要钱。诉求: 我也需要定额发票，希望税务局发放。国家税务总局的公告，也是各地方可以根据实际，自行规定 定额发票的使用范围。,2019-08-08,2019-08-26
70,    举报青岛同盛物业管理有限公司虚开增值税发票，请税务局好好查查公司的账目。,2019-08-05,2019-08-15
71,买房子花费了一二百万，再三推托选一个，时间成本怎么算？请给一个具体时间！,2019-08-06,2019-08-06
72,"您好,请问普通住宅地址是否可以注册公司的办公地址,",2019-07-22,2019-07-22
73,2019年5月6日我在此平台咨询平度开元盛景为何不给消费者出具发票，有没有偷税漏税嫌疑。相关部门的答复是应该出收据或者增值税发票，但是到现在7月4日了，平度开元盛景一直没有给消费者任何正式的收据或者发票，不仅如此还有各种理由搪塞，比如会计部门没有纸？会计今天不上班？会计月底不结账？？麻烦相关部门再次查实开元盛景到底有没有偷税漏税，为何迟迟不开发票？到底哪天才能开发票？,2019-07-04,2019-07-18
74,投诉国美电器仙霞岭路店财务虚开增值税发票，账目混乱，希望税务部门严查，不给我们员工投保险,2019-06-25,2019-07-16
75,我知道企业给别人代开发票，量很大，要向哪里举报？,2019-07-09,2019-07-09
